created_at,date,time,timezone,username,name,place,tweet,language,mentions,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,retweet_id,reply_to
2020-12-08 08:09:32 UTC,2020-12-08,08:09:32,0,faycefayce1,fayce fayce,,@Josephine_122 @DamienRieu @T_Bouhafs On en a rien a foutre de ta grand mere,fr,,0,0,1,[],[],https://twitter.com/faycefayce1/status/1336221359853215744,False,,,Josephine_122|DamienRieu|T_Bouhafs
2020-12-08 08:09:22 UTC,2020-12-08,08:09:22,0,zizouninho,takeiteasy,,"@HetMasteen2 @SeutreD @AltayKorean @Lanoiredu91 @DamienRieu @T_Bouhafs L’Algérie et le Vietnam ont colonisé quels pays ? Mettre colonisation et aspects positif relève de la perversité, ça reviendrait à dire que pendant l’occupation, finalement les allemand c’était pas si terrible que ça.",fr,,4,0,1,[],[],https://twitter.com/zizouninho/status/1336221318182735872,False,,,HetMasteen2|SeutreD|AltayKorean|Lanoiredu91|DamienRieu|T_Bouhafs
2020-12-08 08:07:47 UTC,2020-12-08,08:07:47,0,adeleclyon,ADELEC,,@T_Bouhafs Change de disque.,fr,,0,0,0,[],[],https://twitter.com/adeleclyon/status/1336220920755662849,False,,,T_Bouhafs
2020-12-08 08:07:43 UTC,2020-12-08,08:07:43,0,seutred,Dimso 🇨🇵,,"@zizouninho @AltayKorean @Lanoiredu91 @DamienRieu @T_Bouhafs Aucune idée, je n'étais pas né, mais la génération actuelle n'est pas responsable du colonialisme et de toute façon chaque pays a commis des atrocités dans son histoire. C'est comme ça on ne peut pas changer le passé malheureusement.",fr,,0,0,1,[],[],https://twitter.com/SeutreD/status/1336220902594326528,False,,,zizouninho|AltayKorean|Lanoiredu91|DamienRieu|T_Bouhafs
2020-12-08 08:06:49 UTC,2020-12-08,08:06:49,0,yaago59,fi dimi tour 🇩🇿,,"@DamienRieu @T_Bouhafs Imagine ton père te renie psk sa salope de femme a sorti un déchets vraiment pas possible , oui on parle de toi Damien",fr,,0,0,0,[],[],https://twitter.com/YAAGO59/status/1336220673941917696,False,,,DamienRieu|T_Bouhafs
2020-12-08 08:06:34 UTC,2020-12-08,08:06:34,0,hetmasteen2,HetMasteen,,@zizouninho @SeutreD @AltayKorean @Lanoiredu91 @DamienRieu @T_Bouhafs Je crois que voir la colonisation uniquement comme quelque chose de négatif c'est être manichéen. La considérer hors contexte historique c'est être simpliste... Pensez que ni le Vietnam ni l'Algérie n'ont fait de guerre de conquête c'est être ignare😉,fr,,1,0,0,[],[],https://twitter.com/HetMasteen2/status/1336220613875208192,False,,,zizouninho|SeutreD|AltayKorean|Lanoiredu91|DamienRieu|T_Bouhafs
2020-12-08 08:06:34 UTC,2020-12-08,08:06:34,0,mauconduitbruno,Mauconduit Bruno,,@T_Bouhafs Commence par retourner au bled !. BRUNO.,fr,,0,0,0,[],[],https://twitter.com/MauconduitBruno/status/1336220612134658048,False,,,T_Bouhafs
2020-12-08 08:05:20 UTC,2020-12-08,08:05:20,0,alainmarschal,Vallengaard,,"@T_Bouhafs Ferme un peu ta gueule tu n'es rien, qu'un misérable digne d'une émission de téléréalité qui cherche à avoir un peu de reconnaissance. Tu es toxique pour la France, tu as fais 1000 fois pire en balançant des identités de policier en pature. Tais toi donc et va en Russie/Chine",fr,,0,0,0,[],[],https://twitter.com/AlainMarschal/status/1336220302372691969,False,,,T_Bouhafs
2020-12-08 08:02:42 UTC,2020-12-08,08:02:42,0,annearmorika22,Marie-Anne,,"Moi aussi je suis bloquée par #T_Bouhafs. Ce monsieur ne supporte pas la contradiction, et faute d'être capable de  trouver des arguments convaincants, il préfère refuser le dialogue.",fr,,0,0,1,['t_bouhafs'],[],https://twitter.com/AnneArmorika22/status/1336219637609062401,False,https://twitter.com/pistachenoire1/status/1336210194582413314,,
2020-12-08 08:01:24 UTC,2020-12-08,08:01:24,0,mangadupond,poubelle mondial,,@PGooner59 @DamienRieu @T_Bouhafs Et toi petite merde retournes t instruire a la PlayStation,fr,,0,0,0,[],[],https://twitter.com/mangadupond/status/1336219314253422592,False,,,PGooner59|DamienRieu|T_Bouhafs
2020-12-08 07:54:10 UTC,2020-12-08,07:54:10,0,multipotentiell,⚫ミカサ ⚪,,@T_Bouhafs Ya que moi qui a pas la ref ici ? Un jour où je suis pas sur Twitter et me voilà perdue.  https://t.co/Y4UgKnowWc,fr,,0,0,0,[],[],https://twitter.com/multipotentiell/status/1336217492717441029,False,,,T_Bouhafs
2020-12-08 07:52:46 UTC,2020-12-08,07:52:46,0,dedel54917085,dedel,,@fugitifnumero1 Un peu (le mot est faible)mérité bouhafs. Pleurnicheur quand ça t’arrange💩,fr,,0,1,0,[],[],https://twitter.com/dedel54917085/status/1336217140274327552,False,,,fugitifnumero1
2020-12-08 07:51:24 UTC,2020-12-08,07:51:24,0,gavroch87975646,Free_hunter_two,,@BenjaminSire @lieemix @Petitje07386566 @T_Bouhafs @GaspardGlanz @manuelvalls Dans la famille des renards on peut rajouter le Benjamin Sire.,fr,,0,0,1,[],[],https://twitter.com/Gavroch87975646/status/1336216794000920576,False,,,BenjaminSire|lieemix|Petitje07386566|T_Bouhafs|GaspardGlanz|manuelvalls
2020-12-08 07:49:43 UTC,2020-12-08,07:49:43,0,dadamio3,dadamio Patrizia,,@pistachenoire1 @T_Bouhafs Ok je fais ça 😘,fr,,0,0,1,[],[],https://twitter.com/dadamio3/status/1336216371231920129,False,,,pistachenoire1|T_Bouhafs
2020-12-08 07:49:23 UTC,2020-12-08,07:49:23,0,evooliusheun,Sam-(3crocos)-evooliusheun,,"@T_Bouhafs C'est une rubrique mortuaire ton twitter, à quand un flash back dans les années 1800 pour trouver un des tes frères tombé sous les coups de cet affreux Etat policier?",fr,,0,0,0,[],[],https://twitter.com/evooliusheun/status/1336216287794618368,False,,,T_Bouhafs
2020-12-08 07:48:43 UTC,2020-12-08,07:48:43,0,pistachenoire1,pistache noire,,@dadamio3 Retweetez et demandez à vos twittos de signaler @T_Bouhafs pour ce tweet ...  😘,fr,t_bouhafs,1,0,0,[],[],https://twitter.com/pistachenoire1/status/1336216120584531968,False,,,dadamio3
2020-12-08 07:44:45 UTC,2020-12-08,07:44:45,0,wysuwa,Frederic D,,"@sofsof1_sofiane @Speedmaster_78 @DamienRieu @T_Bouhafs les allemands ont occupé et été occupés. Mais ils savaient fabriquer des voitures, des avions, avant, pendant et après la guerre hors, c’est toujours pas le cas en Afrique. Le problème est ailleurs mais la réponse ne plaît pas.",fr,,1,0,0,[],[],https://twitter.com/Wysuwa/status/1336215121761284097,False,,,sofsof1_sofiane|Speedmaster_78|DamienRieu|T_Bouhafs
2020-12-08 07:41:00 UTC,2020-12-08,07:41:00,0,lamirom,Nassim Simply,,@Josephine_122 @DamienRieu @T_Bouhafs Pourquoi vos aïeuls sont-ils venus alors qu'ils avaient leur propre pays ? La même question peut se poser dans l'autre sens. Maintenant il vous faut assumer leurs appétit et orgueil démesuré.,fr,,0,0,0,[],[],https://twitter.com/LamirOm/status/1336214180156870656,False,,,Josephine_122|DamienRieu|T_Bouhafs
2020-12-08 07:40:17 UTC,2020-12-08,07:40:17,0,mangadupond,poubelle mondial,,@Speedmaster_78 @DamienRieu @T_Bouhafs Et Israël la voleuse terroriste .las bas les jeunes n ont vécu que la haine d autrui . LA GUERRE A DÉVORÉE LEUR PEU D HUMANITÉ ET CELA VA CONTINUER SUR DES GENENATIONS .,fr,,0,0,0,[],[],https://twitter.com/mangadupond/status/1336213999155892230,False,,,Speedmaster_78|DamienRieu|T_Bouhafs
2020-12-08 07:37:26 UTC,2020-12-08,07:37:26,0,santacr69391179,Contre les Baizuo,,"@GingerellaL @DamienRieu @T_Bouhafs vous parlez de quoi au juste ? comment sont-ils traités en France, allez y expliquez vous ?",fr,,0,0,0,[],[],https://twitter.com/SantaCr69391179/status/1336213279174254592,False,,,GingerellaL|DamienRieu|T_Bouhafs
2020-12-08 07:36:25 UTC,2020-12-08,07:36:25,0,benjaminsire,Benjamin Sire,,@Gavroch87975646 @lieemix @Petitje07386566 @T_Bouhafs @GaspardGlanz @manuelvalls Oui et non. Les journées sont particulièrement rudes et intenses en ce moment.,fr,,1,0,0,[],[],https://twitter.com/BenjaminSire/status/1336213023783071745,False,,,Gavroch87975646|lieemix|Petitje07386566|T_Bouhafs|GaspardGlanz|manuelvalls
2020-12-08 07:35:54 UTC,2020-12-08,07:35:54,0,lamirom,Nassim Simply,,"@DamienRieu @T_Bouhafs Ça lui fait deux pays plutôt qu'un. Quant à toi, qui semble même avoir quitté son vrai pays, tu ne restes bon qu'à faire le mariole sur twitter. Ça fait 2-0 pour @T_Bouhafs  D'où le fait que tu cherches à lui gratter du buzz.",fr,t_bouhafs,0,0,0,[],[],https://twitter.com/LamirOm/status/1336212893130514434,False,,,DamienRieu|T_Bouhafs
2020-12-08 07:35:12 UTC,2020-12-08,07:35:12,0,ishtar_ofninive,Kalmakil,,@Sba74755902 @AnneTessier7 @T_Bouhafs C'est un bon début oui !,fr,,0,0,0,[],[],https://twitter.com/Ishtar_ofNinive/status/1336212719318556672,False,,,Sba74755902|AnneTessier7|T_Bouhafs
2020-12-08 07:29:52 UTC,2020-12-08,07:29:52,0,gdenbas,Le Colibri,,"@T_Bouhafs @cimedudiable On croirait entendre le sketch de Le Luron ... Je suis pas raciste, mon chien est noir !",fr,,0,0,1,[],[],https://twitter.com/GDenbas/status/1336211377002868738,False,,,T_Bouhafs|cimedudiable
2020-12-08 07:26:27 UTC,2020-12-08,07:26:27,0,antoine73028203,Antoine,,@l_collectif @T_Bouhafs @OmarSlaouti @LesMusulmans @Youbrak @laveritepradama @M_F_J_E @MirqedirM @Naziha_up @juliensalingue @RokhayaDiallo C'est votre manif qui est liberticide,fr,,0,0,0,[],[],https://twitter.com/Antoine73028203/status/1336210519057948674,False,,,l_collectif|T_Bouhafs|OmarSlaouti|LesMusulmans|Youbrak|laveritepradama|M_F_J_E|MirqedirM|Naziha_up|juliensalingue|RokhayaDiallo
2020-12-08 07:25:29 UTC,2020-12-08,07:25:29,0,mchristine55,mc,,@DamienRieu @T_Bouhafs 👍🏻,und,,0,0,1,[],[],https://twitter.com/mchristine55/status/1336210273867358216,False,,,DamienRieu|T_Bouhafs
2020-12-08 07:25:10 UTC,2020-12-08,07:25:10,0,pistachenoire1,pistache noire,,..Que ceux qui ont accès à @ T_Bouhafs le fassent svp.  Je ne peux pas il m’a bloquée depuis longtemps !!! Merci,fr,,2,5,1,[],[],https://twitter.com/pistachenoire1/status/1336210194582413314,False,https://twitter.com/fugitifnumero1/status/1336017813601984512,,
2020-12-08 07:23:27 UTC,2020-12-08,07:23:27,0,jfaerber,Johan Faerber,,@laprofdoc5 @Mediapart @stylos_les @nhabouzite @libe @RIP_educ @AA_Avocats @T_Bouhafs @Brevesdepresse @cafepedagogique @SNESFSU @SUD_education @SNALC_National @SE_Unsa Je ne sais pas s’il aurait du être policier. Je remarque juste qu’il n’y en avait aucun le vendredi soir pour le protéger.,fr,,0,1,5,[],[],https://twitter.com/JFaerber/status/1336209760287412224,False,,,laprofdoc5|Mediapart|stylos_les|nhabouzite|libe|RIP_educ|AA_Avocats|T_Bouhafs|Brevesdepresse|cafepedagogique|SNESFSU|SUD_education|SNALC_National|SE_Unsa
